"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:48:13.8726333 PM","dwnetfilter.exe","3948","WriteFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","Offset: 55,242, Length: 118"
"7:48:13.8727155 PM","dwnetfilter.exe","3948","CreateFile","C:\ProgramData\Doctor Web\DWS\white_dwfvln.dws","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"7:48:13.8727710 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\DWS\white_dwfvln.dws","SUCCESS","AllocationSize: 4,096, EndOfFile: 1,659, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:13.8727805 PM","dwnetfilter.exe","3948","CreateFileMapping","C:\ProgramData\Doctor Web\DWS\white_dwfvln.dws","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE"
"7:48:13.8727889 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\DWS\white_dwfvln.dws","SUCCESS","AllocationSize: 4,096, EndOfFile: 1,659, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:13.8728053 PM","dwnetfilter.exe","3948","CreateFileMapping","C:\ProgramData\Doctor Web\DWS\white_dwfvln.dws","SUCCESS","SyncType: SyncTypeOther"
"7:48:13.8728377 PM","dwnetfilter.exe","3948","CloseFile","C:\ProgramData\Doctor Web\DWS\white_dwfvln.dws","SUCCESS",""
"7:48:13.8729127 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 55,360, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:13.8729233 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 55,360, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:13.8729356 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 55,360, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:13.8729437 PM","dwnetfilter.exe","3948","WriteFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","Offset: 55,360, Length: 111"
"7:48:13.8729710 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 55,471, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:13.8729799 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 55,471, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:13.8729921 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 55,471, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:13.8730128 PM","dwnetfilter.exe","3948","WriteFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","Offset: 55,471, Length: 138"
"7:48:13.8730311 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 55,609, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:13.8730398 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 55,609, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:13.8753539 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","AllocationSize: 131,072, EndOfFile: 55,609, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:13.8753865 PM","dwnetfilter.exe","3948","WriteFile","C:\ProgramData\Doctor Web\Logs\netfilter.log","SUCCESS","Offset: 55,609, Length: 118"
"7:48:13.8754985 PM","dwnetfilter.exe","3948","CreateFile","C:\ProgramData\Doctor Web\DWS\white_dwfwpn.dws","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"7:48:13.8755480 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\DWS\white_dwfwpn.dws","SUCCESS","AllocationSize: 4,096, EndOfFile: 677, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:13.8755603 PM","dwnetfilter.exe","3948","CreateFileMapping","C:\ProgramData\Doctor Web\DWS\white_dwfwpn.dws","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE"
"7:48:13.8755700 PM","dwnetfilter.exe","3948","QueryStandardInformationFile","C:\ProgramData\Doctor Web\DWS\white_dwfwpn.dws","SUCCESS","AllocationSize: 4,096, EndOfFile: 677, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:48:13.8756018 PM","dwnetfilter.exe","3948","CreateFileMapping","C:\ProgramData\Doctor Web\DWS\white_dwfwpn.dws","SUCCESS","SyncType: SyncTypeOther"
